revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_f71c3df_afb79d0/rev_f71c3df-afb79d0.revisions;1431;508;0;508;0;923;923;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_b54480c_89f1dd1/rev_b54480c-89f1dd1.revisions;1426;518;0;518;0;908;906;1;1;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_182e5f7_eb31247/rev_182e5f7-eb31247.revisions;1431;508;0;508;0;923;923;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_8f031ed_56198b2/rev_8f031ed-56198b2.revisions;1431;508;0;508;0;923;922;1;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_518010e_4df0298/rev_518010e-4df0298.revisions;1432;509;0;509;0;923;920;2;1;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_e99abe6_ddd1a9a/rev_e99abe6-ddd1a9a.revisions;1443;515;0;515;0;928;928;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_63ebc05_0b45f25/rev_63ebc05-0b45f25.revisions;1443;515;0;515;0;928;928;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_0bf2d35_9ceedeb/rev_0bf2d35-9ceedeb.revisions;1443;515;0;515;0;928;928;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_1fbcf09_7ea3568/rev_1fbcf09-7ea3568.revisions;1444;516;0;516;0;928;928;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_7088e18_34dc733/rev_7088e18-34dc733.revisions;1444;516;0;516;0;928;928;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_c20c0f5_81c3812/rev_c20c0f5-81c3812.revisions;1448;516;0;516;0;932;932;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_8e833a2_bfbca95/rev_8e833a2-bfbca95.revisions;1448;516;0;516;0;932;932;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_9a65bbb_9bcd4b8/rev_9a65bbb-9bcd4b8.revisions;1448;516;0;516;0;932;932;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_7c25e9c_bb1deb7/rev_7c25e9c-bb1deb7.revisions;1448;516;0;516;0;932;932;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_31ba2fe_da6e478/rev_31ba2fe-da6e478.revisions;1442;519;0;519;0;923;921;1;1;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_bd60088_942c2c7/rev_bd60088-942c2c7.revisions;1449;521;0;521;0;928;927;1;0;1;1;1;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_97d330c_a219bf4/rev_97d330c-a219bf4.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_1c5a2cb_98b4da5/rev_1c5a2cb-98b4da5.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_932a653_951a99c/rev_932a653-951a99c.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_0331523_d191204/rev_0331523-d191204.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_3392a54_089ae14/rev_3392a54-089ae14.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_2d079fd_53f4594/rev_2d079fd-53f4594.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_d1a7333_f141912/rev_d1a7333-f141912.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_2d7b4c2_e556d1c/rev_2d7b4c2-e556d1c.revisions;1463;521;0;521;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_bef570d_64c409b/rev_bef570d-64c409b.revisions;1469;527;0;527;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_33c1e9f_e04b8fd/rev_33c1e9f-e04b8fd.revisions;1477;527;0;527;0;950;950;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_66b3a46_6f52f62/rev_66b3a46-6f52f62.revisions;1469;527;0;527;0;942;942;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_093aa86_2543a46/rev_093aa86-2543a46.revisions;1477;527;0;527;0;950;950;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_4eb30ef_a1b046a/rev_4eb30ef-a1b046a.revisions;1477;527;0;527;0;950;950;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_34e7904_3a12959/rev_34e7904-3a12959.revisions;1477;527;0;527;0;950;950;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_4acb171_48ec915/rev_4acb171-48ec915.revisions;1478;527;0;527;0;951;951;0;0;0;0;0;0
